Sl.No	Customer Name	Location	State	Contact Name	Contact Number	Email Id	GST NUMBER	#N/A
228	Sauryaputra Solar			Mr. Rajendra Laddha	9422279346			SBR Enterprises.,No. 14A-3rd Street, Kongu Nagar.,Tirupur-641 607, Tamilnadu
229	Sauryouth			Ms. Kshitija Ruikar	8855990916	enquiry@sauryouth.co.in		Near Essar Petrol Bunk,, Rasipuram-Tiruchengode Main Road,, Andagalore Gate, Rasipuram, Namakkal- 637408, Tamilnadu, Mr. Bharanidharan - 9965151512
230	Sauryouth Enterprises	Canada Corner, Nashik	Maharashtra			enquiry@sauryouth.co.in	27APYPT4603F1ZE, 32AAHFE9958J1ZY	Seven Greens Solar Systems Pvt. Ltd., No: 3/34, Shree Ram Chs,Bldg No 1, MHB Colony, Khernagar, Opp Daulat Nagar,Bandra-East, Mumbai–400051.Maharashtra
231	SBR Enterprises.,	Tirupur-641 607	Tamil Nadu				33AFPPB3603L1ZM	Shashwat Cleanth Pvt Ltd., First Floor, A/7, Safal Profitaire,Corporate Road, Nr. Prahladnagar Garden,Ahmedabad - 380015, Gujarat
232	Selvamani	Namakkal	Tamil Nadu	Mr. Bharanidharan	9965151512	dharanbharani007@icloud.com	URP	Shivakumar S R , Eminent Tower, Dental Collage Road, Devangere - 577004, Karnataka
233	Seven Greens Solar Systems Pvt Ltd	Silvassa	Maharashtra	Bhushan -	9767601848		27AAQCS0641G1Z9	Shri Ganesh Enterprises , Biharilal Nagar, Nr Hotel Amit, Deulgoan Raja Road,Jalna - 431 203
234	Shashwat Cleanth Pvt Ltd.	Ahmadabad, Gujarat	Gujarat	Prasad Dongwar :	 98244 38884 | 079-40022224	purchase@shashwatcleantech.com; accounts2@shashwatcleantech.com	24AALCS6081K1ZX	Simba Solar Solutions Pvt Ltd, 176/ 23, D2, PBA Arcade, HMT Road Kalamassery, Kochi - 683104
235	Shivakumar S R	Devangere - 577004	karnataka				29AWIPS6237P1ZI	Mr. Seby Manavalan, Nilgiris Supermarket, Ettumanoor PO - 686631, Kottayam District, Kerala., , Cell: 8289938301 , , , ,
236	Shri Ganesh Enterprises	Jalna, Maharashtra	Maharashtra	Mr. Chandan Lavhade - 9423158298	Mr. Chandan Lavhade - 9423158298	shriganeshenterprisesjln@gmail.com 	27ACTPL1470E1ZH	Sjaar Infrastructure Pvt Ltd, DCB-525, Dlf Info Park, Chandrasekharpur, Chandaka Indistrial Estate, Bhubaneshwar -751024, Odisha
237	Simba Solar Solutions	Ernakulam, Kerala	Kerala	 Serin, Cell: 9633966228	9633966228		32ABCCS2698L1ZY	RG Clean Energy Co , 1st Floor, Above Celebration Hotel, Jakhotiya Arcade, Shilpahata Khopoli, Maharashtra - 410203
238	Siret Energy Engineering Pvt Ltd	Kottayam District	Kerala	Mr. Seby Manavalan	8289938301	sales@siretenergy.com	32ABBCS8296B1ZE	#N/A
239	Sjaar Infrastructure Pvt Ltd	Bhuvaneshwar, Odissa	Odissa		9040005874 & 9437005874		21ABCCS9170M1Z2	PP Singhal , Smart Roof Solar Solutions Pvt.Ltd , No. 2315/23D, Rajiv Nagar, , Old Delhi-Gurgaon Road, Gurgaon-122001, Haryana , 8506056789
240	Sky ray Solar	Nagpur	Maharashtra	Mr. Lokesh Nandanwar	9096010191	lokeshnandanwar@skyrayssolar.com		Smart Solar Energy Experts , Kartik Ingle, Opp Petrol Pump, Chhoti Umari, Akola - 444005, Maharashtra
241	Smart Roof Solar Solutions Pvt.Ltd	GOPALPUR-CHANDIGARH	Chandigarh	Avnish Verma, 85060 56789	9810179013		06AAVCS6215R1ZF	Thiruvathira, Kottamughal, Nalanchira P.O, Thiruvananthapuram - 695015, Kerala
242	Smart Solar Energy Experts	Akola, Maharashtra	Maharashtra	Karthik	9545556043	kartikingle03@gmail.com; smartsolarenergyexperts@gmail.com	27AEAPI8560H1ZG	SN SUN POWER INDIA PVT LTD, 6/70A SELAKKARICHAL, SULUR, Coimbatore - 641658, Tamil Nadu
243	Smart Solar Homes	Trivandram, Kerala	Kerala	Alan Babu 	91-9946554540/9846465454	alan@smartsolarglobal.com	32AXGPB2240N1ZT	Sobha Classic & Sobha Eternia Apartment Owners Association , Haralur Road , off Sarjapur Road ,, Bangalore - 560 102
244	SN SUN POWER INDIA PVT LTD	Coimbatore, Tamilnadu	Tamil Nadu	T. Saravanan/ Nirmala	9659548833	snsunpower@gmail.com	33AAVCS4531Q1ZL	SOFS Clean Energy Pvt Ltd, No.1/5, (30B/5), 1st Avenue, K Block, Anna Nagar East,Chennai - 600102. Tamilnadu
245	Sobha Classic & Sobha Eternia Apartment Owners Association	Bangalore, Karnataka	Karnataka	Mr Srijith -	 77609 84795	gsreeji@yahoo.com	29AANAS2247R1ZJ	Solar Green Solution , No.6, Patel Road, Perambur,, Chennai – 600 011
246	SOFS Clean Energy Private Limited	Anna Nagar East,, Chennai	Tamil Nadu			fredrick@solarforschools.co.uk	33AAZCS1402J1Z7	Solar Hub , No. 4/69D, Palal Building, Athani In, Thiruvaniyoor, Ernakulam, Kerala - 682308
247	Solar Era			Mr. Srinivas	8073382567			#N/A
248	Solar Green Solution	vellore, Tamilnadu	Tamil Nadu	Contact No: Murali 	Contact No: Murali - +91 9600861601	sales@solargreensolutions.in	33AEEFS3862A1ZD	Prabhatkiran Sustainable Energy Pvt Ltd, No. 4, Jeeval Residency, Sakalecha Nagar, Jalna 431 203, Maharashtra
249	Solar Hub	Ernakulam, Kerala	Kerala	George Varghese	9061348081	solarhubkochi@gmail.com	32AEEFS4942P1ZL	Sauryouth Enterprises , Ground Floor Adisha Appartment, Khanderao Colony,Near Arambh Clinic, Just Near Ramdass Garden,Canada Corner, Nashik Maharashtra - 422009
250	Solar Prabhatkiran			Mr. Mayur	9423844451			Pranjal Dhariwal , Solar Quest LLP , Shubh, Police Lines First Crossing , GOKHLE MARG, AJMER, RAJASTHAN - 305001 , 9600080961
251	Solar Quest LLP	Ajmer, Rajasthan	Rajasthan	Pranjal Dhariwal : 9600080961	Pridivraj : 9597706503, 9828661615	pranjal@solarquest.in	08ACJFS2440R2ZH	"Head Office G3 -B Wing Het Kunj
 VP Road, Andheri West
 Mumbai - 400 058"
252	SOLAR SQUARE ENERGY PVT LTD	Bhopal, Madhya Pradhesh	Madhya Pradhesh	Mr. Sujeet singh 9004334748	Mr. Sujeet singh 9004334748	bijan@solarsquare.in	27AAVCS8269F1ZI	Solarhub (PB) , Phagwara Road, Opppsite Moga Sokra Pharmacy, Hoshiarpur, Hoshiarpur, Punjab - 146001
253	Solarhub (PB)	Punjab	Maharashtra	Mr.Karan - 7018126770, 7696363183	7018126770, 7696363183	Solarhubcompany@yahoo.com	03GBLPK5300P1ZG	#N/A
254	Solarryte	Bhubaneswar / Cuttuck		Mr. Uday Kumar Reddy	7358258385	uday.reddy@solaryte.com		SOLECO ENERGY PVT LTD , No. 51/537©,First Floor,Highway Arcade, Victor Leenus Lane, Thykoodam,, Vytilla P O Kochi-682019, Kerala
255	SOLECO ENERGY PVT LTD	Kochi, Kerala	Kerala	Winson Mammen : 9447281085	Safia:8075669609	 admin@soleco.in	32ABCCS6458E1ZF	Soleden Power Private Limitd, No. A - 154 Hosan Khan Mewat Nagar, Alwar, Rajasthan - 301 001
256	Soleden Power Private Limitd	Alwar,  Rajasthan	Rajasthan	Saurabh Sethi,	7014545283	saurabhsethi@soleden.in	08AAYCS6030P1ZF	"#H-412,Sumel Business Park 7,
 Nr. Soni Ni Chali BRTS Bus Stand,
 Rakhiyal,Ahmedabad-380023"
257	Soleos Solar Energy	Rakhiyal,Ahmedabad	Gujarat	Mr. Aniket Rangholia	9033018903	aniket@soleos.in	GST NO. 36AATFK7558C1ZV.	SOLIS IMPERIUM LLP , ShivPushpa, 35-8 near PMT Colony, Mohan Nagar, RajgadToranaChowk, Dhankawadi, Pune- 411043
258	SOLIS IMPERIUM LLP	Pune, Maharashtra	Maharashtra	Mr.Atul Pawar	7304789696	amppower2u@hotmail.com ; ramharitapare95@gmail.com	27BIOPT7648L1Z5	Mr Rajesh Maloo ,Sologics India LLP ,32-33, Garg Building, Vidhyut Nagar B,Near DCM, Ajmer Road, Jaipur 302021. ,9001899170 ,
259	Sologics India LLP	Jaipur, Rajasthan	Rajasthan	Mr Rajesh Maloo- 9001899170	Mr Mansukh-  93526 83363	 <sologicsindia@gmail.com>Rajesh Maloo <rajeshmaloo29@gmail.com>	08ADAFS4896B1ZY	Solray Solutions LLP , 274-A, Satyam,, Pedem Road,, Mapusa, Goa- 403507
260	Solray Solutions LLP	Assagoa, Goa	Goa	Ms Sandhya- 	95974 34426	sandhya@solraysolutions.com	30ADGFS0210D1Z1	Somani Solar, Infront of Gondwana Vikas Mandal,,Near Tukdoji Putla, Nagpur 440024, Maharashtra
261	Somani Solar	Nagpur	Maharashtra		8766452120		27ADRFS6274N1Z0	3-91 Kajaragutthu, Hiriyadaka Post , Udupi, Karnataka, India - 576113, Shreesha Hedge - 9379799111, 8618717938
262	Soorya Solar Systems	Udupi, Karnataka	karnataka	Mr.Shreesha Hedge	9379799111   ,8618717938	shreeshahegde@ymail.com	29AOZPH6154B1ZL 	Chennai – Bangalore Highway, Opposite to Hyundai Motors,, Sriperumbudur Taluk, Irungattukottai, Tamil Nadu 602117, Dinesh Kumar : 7358559826
263	Sootless Energy Private Limited	Sriperumbudur Taluk, Irungattukottai	Tamil Nadu	Dinesh Kumar	7358559826	info@sootlessenergy.com	33AAVCS9012N1ZP	Southern Energy Development Corporation Ltd, No.43, Parry House, Moore Street, Chennai - 600001. Tamil Nadu
264	Soura Vidyut			Mr. Vinay raj	7795237267	vinay@sauravidyut.in		Sri Aurobindo Ashram Ttrust, Pondicherry. 605001
265	Southern Energy Development Corporation Limited	Kanchipuram Dist,	Tamil Nadu	Mr.Sudhakar	8056481373		33AAECS3210R2Z9	Mr.Srikanth Chandrasekar, 90/2, 9th South Cross Street,Kapaliswarar Nagar, Neelangarai,Chennai - 600 041, Tamilnadu
266	Spark Solar			Mr. Swapnil	9370171647	swapnil@sparksolar.co.in		Old Padoli, Near Pratap Yard, Chota Nagpur Road, Chandrapur - 442406, Maharashtra, 7447445082, 9923012344
267	Sri Aurobindo Ashram Ttrust	Pondicherry	Pondicherry	Mr.Sandeepan	9597541625		34AAATS2408L1ZJ	SSK Enterprises, 2420, Dalmandai, Opposite To Merchant Bank, Ahmednagar - 414001, Maharashtra
268	Srikanth Chandrasekar	Chennai, Tamil Nadu	Tamil Nadu	Mr.Mohan -	7397555762		URP	#N/A
269	Srinath Engineerings	Chandrapur - 442406	Maharashtra		7447445082, 9923012344	shrinath.acnts@gmail.com	27AKUPD4811C1ZC	Standard Engineering Company, 131/7B, Hadapsar Industrial Estate,Near Silver Jubilee Motors,Pune- 411013, Maharastra
270	SSK Enterprises	AHMEDNAGAR,, MAHARASHTRA	Maharashtra	Satish Kakani - 	9422224241	adityasolar12@gmail.com	27AKVPK8549H1ZB	Stergy Cleantech Pvt Ltd , Building No:12/16, Arattuvazhy Ward, Alappuzha, Kerala 688007 IN, Kerala
271	Standard Engineering Company	Pune, Maharashtra	Maharashtra	Chirag Pungaliya	9822036780	shreyarpradeep@gmail.com; chirag@sunbeam.net	27ABBFS7631R1ZH	Mr.Nedeem Kazi , Sugatu Infra Pvt Ltd , Sugatu Infra Pvt Ltd the Playce, , 1st Floor Marathon Maxima, LBS Road, , Mulund West , Mumbai - 400 080. Maharashtra , 8104914827
272	Stergy Cleantech Pvt Ltd	Cochin, Kerala	Kerala	Mr. Jithu, 81368 97316	81368 97316	accounts@stergycleantech.com	32AAYCS8836K1ZG	Sugatu Infra Pvt Ltd (GJ) , 15-A/B, Shah Industrial Park-2,, Lamdapura Road, Manjusar, Savli, Vadodara Gujarat 391775
273	Sugatu Infra Pvt Ltd	Nagpur, Maharashtra	Maharashtra	 Devendra. Nedeem Kazi	8104914827; 7906470871	hshringi@sudatu.net	27ABBCS0023N1ZF	Sun Best , 238 / 10, Nehru Ji Road, Valli Nagar, Theni - 625531
274	Sugatu Infra Pvt Ltd (GJ)	Gujarat	Maharashtra	Hemant Sarangi	79770 44390	sales@sugatu.net	24ABBCS0023N1ZL	Sun Ray Products Pvt Ltd, Bejai Church Complex, Bejai , Mangalore - 575 004, Karnataka
275	Sun Best	Tirunelveli 627201	Tamil Nadu	Rajesh : 	9994094400		33AGVPP4222E1ZE	Ms.Neha Bothra , No.31, 9th Main 4th Cross , RPC Layout Vijayanagar , Bangalore - 560 040
276	Sun Ray Products Pvt Ltd	Mangalore, Karnataka	Karnataka		9538010100	"	sunraypowersol@gmail.com,
contact@sunraysol.com"	29ABCCS5572K2ZR	Mr. Baddy Martin , Reecco Energy India Pvt ltd , No.IV/219,B4, Pala Road, , Chunkam, Kolani P.O , Thodupuzha - 685608 , Kerala , 9745697444
277	Sun Trop Solar Pvt Ltd	Bangalore, Karnataka	Karnataka	Neha : 9606621113, Office - 080 23119520	Neha : 9606621113, Office - 080 23119520	ankitjain@suntropsolar.com	29AASCS1914L1ZQ	#N/A
278	Sun World Solar Systems	Manjalloor, Kerala	Kerala	Baby Mathew 9745697444	9745697444	info@sunworldsolar.com	32AUKPS4959G1Z7	Suninfra Energies Pvt.Ltd , 10 Pritam Society,, Opp. State Bank Of India, Malegaon - 423203
279	Sunday Energy Solutions 	Edappal, Malappuram, Kera;a	Kerala	Jayaram	8281689962	sundayenergysolutions@gmail.com	32ESCPP4145R1Z9	No. 34 , I phase , Wood Creek County, Nandambakkam St.Thomas Mount, Chennai, Tamilnadu 600016
280	Sundigo Solar 	Lucknow UP	Uttarpradhesh	Mr. Nishant Agarwal	8173901023	commercial@sundigosolar.com		276 Rajeev Gandhi Nagar, Kota, Rajasthan
281	Suninfra Energies Pvt.Ltd	 Malegaon, Maharashtra	Maharashtra	Khalid Malik SunInfra :	 93708 30887	durgesh@suninfra.co.in	27AAWCS9843C1ZP	Sunplug Energy , C/o Sitara Hotel, Bapat Nagar,Nagpur Road, Chandrapur - 442401, Maharashtra
282	Sunmeister Energy Pvt. Ltd (OPC)	Chennai, Tamil Nadu	Tamil Nadu	Saswat Das	9884423493	saswat.das@sunmeister.in,	33AAUCS7563B1Z3	#N/A
283	Sunovative Private Limited	Rajeev Gandhi Nagar, Kota	Rajasthan	Mr Anubhav	9680597890	anubhav@sunovative.in	08AAXCS5196F1ZK	Sunrise Corporation , 20, Kailash Building ,, Panjarapole Complex, Neri Naka ,, Jalgaon-425001, Maharashtra
284	Sunplug Energy	Maharashtra	Maharashtra			Sunplugenergy@gmail.com	27ADLFS6065K1ZF	Sunrise Enterprises , Ratan Nagar, Mankapur, Nagpur 440030, Maharashtra
285	Sunray Solar			Mr. Raju	8788697659	sunraypowersol@gmail.com 		Sunshine Solar , Wafgaon Road,Rajgurunagar, Pune - 410505, Maharashtra, India
286	Sunrise Corporation	Jalgaon-425001	Maharashtra	Mr. Rajendra Laddha 	7020599824	suryaputrasystems@gmail.com	27AAAHL6045C1ZK	#N/A
287	Sunrise Enterprises	Maharashtra	Maharashtra	Mr. Yash - +919370355355	Mr. Yash - +919370355355	nadeem.tspl@gmail.com	27CBLPK4488E1ZA	B-312,G O Square, Wakad-Hinjewadi Road, Wakad, Pune-411057, Maharashtra
288	Sunshine Solar	Pune, Maharashtra	Maharashtra	Mr. Sachin Sangle	9623177366	sangle.sachin1@gmail.com	27BKAPS0630R1ZS	Sunson Energy Devices Pvt Ltd(UP), E-12 Sector 3 Noida, Alaknanda, Uttar Pradesh-201301
289	Sunshot Technologies Private Limited	Pune, Maharashtra	Maharashtra	Mr. Atul L Pakhale	9970473371	atul.pakhale@sunshot.in	27AAICA8224D1ZU	#N/A
290	Sunson Energy Devices Pvt Ltd	Hariyana	Maharashtra	Ms. Arshi 	9971930808		07AABCS8078E1Z7	Suntastic Solar Systems Private Limited, 27A / 69, First Pilliayar Koil Street, Lakshmipuram, Chrompet,Chennai - 600 044, Tamil Nadu.
291	Suntastic Solar Systems Private Limited	Neelankavil	Tamil Nadu		89398 38059		33AAXCS4958B1ZZ	Suntec Renewable Systems, No 2/26, KR Building, Sathy Main Road, , Kovilpalayam, Coimbatore - 641 107
292	Suntec Renewable Systems	Coimbatore, Tamilnadu	Tamil Nadu		9003019133		33AEDFS3056D1ZE	SUNTECH SYSTEMS, HENA SINGH, P O KG ASHRAM, KOLAKUSMA, SARIDHALA, KOLAKUSMA SARIDHALA,Dhanbad, Jharkhand, 828109
293	SUNTECH SYSTEMS	SARAIDHELA, DHANBAD	JHARKHAND				20HAHPS5304D1Z2	"Sunville Renewable Energy Pvt Ltd , ‘SAGAR’/C1,
 
 47B Sadananda Road
 
 , Kolkata – 700 026, West Bengal. INDIA"
294	Sunville Renewable Energy Pvt Ltd	Kolkata,West Bengal	West Bengal	Mr Sagar Sharma	Tel: +91 33 24668404/+91 9674735960 / 62	info@greenpowersys.com	19ABACS8103Q1ZU	SunWorks Energy Pvt Ltd, Road no 11, Jubilee Hills,Hyderabad - 500033, Telangana
295	SunWorks Energy Pvt Ltd	Hyderabad	Telangana		9666204402 / 8328083320		36AAVCS9974M1ZY	Surya Energy Solutions, 21/51, parson building, NH bypass Vyttila,Ernakulam\- 682 019 Kerala
296	Surya Energy Solutions	Ernakulam Dist 	Kerala				32BCLPJ4620H1ZV	Suryaamshu Renewable energy solutions, , Bldg -A, office no.- A 130, Heritage Princess,, Opp Almeida High school,, Ponda Goa - 403401
297	Suryaamshu Renewable energy solutions,	Ponda	Goa	Mayuresh	94229 70884	Mayuresh.upadhye@suryaamshu.co.in	30AEDFS4445Q1ZQ	Suryavizhudhugal Energy Solutions Pvt , Annai Indira Gandhi Street No. 6, Tagore Nagar, Lawspet, Pondicherry - 605 008
298	Suryatanaya Energy			Mr. Sidharth	8893609114			SWELECT ENERGY SYSTEMS LIMITED U3S, Unit 3 - Salem, No.58/3 Nachiyur Salem Main Road, Idappadi , Salem District - 637105, Tamil Nadu
299	Suryavizhudhugal Energy Solutions Pvt Ltd	Nagercoil, Tamilnadu	Tamil Nadu		9952479393		34ABBCS9601E1ZL	Tanto Beach Resort, Swimming Pool 1, Kalapet - 605014, Puducherry, India.
300	SWELECT ENERGY SYSTEMS LIMITED U3S	Salem, Tamilnadu	Tamil Nadu	Sabrina; Saravanan			33AAACN2366F2ZS	"TCM Limited (Formerty Travancore Chemical & Mfg.Co.Ltd), House No. 28/2917 ""Aiswarya"", Ponneth Temple Road, Shanthi Nagar, Kadavanthra ,Cochin - 682 020, Kerala."
301	Tanto Beach Resort	Puducherry, Auroville	Pondicherry				34AAATA0037BEZC	Teamsustain Limited , Team House' Plot No: 71, MRA., Kakkanad, Kerala India - 682 030
302	"TCM Limited			"	Kannur, Kerala	Kerala	Ranjit	6235044405, 6235044406			TECH SOLAR AND SYSTEMS , C-8, Ashtavinayak Paradise Society,, Koradi Road, Nagpur-440030, Maharashtra
303	Teamsustain Limited	Kerala	Kerala	Mr Biju – 9567870191	9567870191	purchase@teamsustain.in	32AACCT5908P1Z0	#N/A
304	TECH SOLAR AND SYSTEMS	Nagpur, Maharashtra	Maharashtra	 Pallavi - 8806992908	8806992908	sushil@techsolarsystems.com	27AAKFT5671L1ZH	Sanjivani, 2nd Floor, Opp, Navpratibha Night School, Reshimbag Square, Siraspeth, Umred Road, Nagpur, Maharashtra - 440024, Mr Saurabh, 8275398277, 7769985558
305	Technotium Tech	Nagpur, Maharashtra	Maharashtra	Mr Saurabh	8275398277, 7769985558	"	info@technotium.in,technotiumtech@gmail.com"	27AAMFT3787D1ZR	#N/A
306	Techser 	Bangalore, Karnataka	karnataka	Mr. Prasana joshi	9448990424 / 8903122696	psjoshi@techser.com		Madhok Complex, Opp, Silver Arc Mall, Near Arti Chowk, Ferozepur Road, Ludhiana - Punjab - 141001
307	Tecsa Solar Systems	Ludhiana	Punjab		9821465584	tecsasolar@gmail.com	03AGQPJ2851E1ZL	No.37, Ground Floor, 3rd Main, 1st Block, 3rd Phase, Banashankari, 3rd Stage, Bangalore - 560085
308	TerraServe International	Bangalore, Karnataka	karnataka	Mr. Suryatej M Vadulas	9008022440	suryatej@terraserveasia.com	 29AAJFT4611M1ZQ	Think Solar Energy Solutions, XI/166, Muravanthuruth, Vadakkekara PO, N, Paravur, Ernakulam- 683522, Kerala
309	Think Solar Energy Solutions	Ernakulam, Kerala	Kerala				32AAQFT7188J1ZG	S.No.531/3, Village : Sagawadi, Taluk : Sihor, Dist: Bhavnagar- 364001, Gujarat
310	Tulip Chemicals Pvt.Ltd	Bhavnagar	Gujarat	Hitesh Kapashi	9377104749	tulipchem@bsnl.in	24AAACT7833P1ZV	UNIFAB TEXCOT INDIA P LTD, S.f.no: 239 Vettaikaran Kaadu,Kumar Nagar, Kaniyur Village,Karumathampatti - 641659, Tamilnadu, India.
311	UNIFAB TEXCOT INDIA P LTD	Tamil Nadu	Tamil Nadu		9384441279, 8098515777		33AAACU7558A1ZK	Lok Gaurav A2 CHS Ltd, LBS marg Gandhinagar, Vikhroli West Mumbai - 400083
312	Unity Solutions	Vikhroli West Mumbai	Maharashtra	Mr Yogeshwar, Rakesh	8108149986	rakesh@unitysolution.net	27AIGPA9891B1Z9	UNNATI TECHNOFAB, S. No. 69, Next to Manjri Stud Farm,Pune - Solapur Highway, Tq. Haveli, Dist., Pune - 412307 Maharashtra, India.
313	UNNATI TECHNOFAB	Pune, Maharashtra	Maharashtra	Sager Kulkarni  99235 88413	99235 88413		27DZWPS9578H1ZY	Usap Solarfuel LLP , H NO -515, SHOP NO- 1, RADKE LAYOUT,, HINGNA ROAD, BALAJI BUS-STAND, Nagpur,, Maharashtra, 440016
314	Usap Solarfuel LLP	Nagpur, Maharashtra	Maharashtra	Mr. Anil Bhure : 9673579095	9673579095	solarfueljv@gmail.com	27AAFFU8724Q1ZB	SHOP NO 3, SHIVSAGAR SOCIETY,, CHENDHARE, ALIBAUG,, Raigad, Maharashtra - 402201, Swapnali, 7767000 - 680 & 667
315	VEGA LIGHTS TECHNO SERVICES	Mumbai, Maharashtra	Maharashtra	Swapnali, 7767000 - 680 & 667	7767000 - 680 & 667	vegalights@gmail.com	27ABQPL6461M1ZW	Mr. Venkatesh, , Vesat Solar Products , , No # 21/1, East Tv samy, , R.S. Puram, Coimbatore - 641002.
316	Vesat Renewables Private Limited	Coimbatore, Tamilnadu	Tamil Nadu	Vishak	95783 48884	projects@vesatsolar.com	33AAHCV0157B1ZT	VilvaTech - Experts in Automation , No.63, AA complex, Rahman Nagar,, Thanjavur Tamil Nadu 613004
317	VilvaTech - Experts in Automation	Swamimalai 	Tamil Nadu	Arun Baskaran	73393 33614		33KDBPS6551L1Z0	Vimco Solar , 8 - A Bhagat Singh Nagar, Model House, Jalhandar Punjab - 144001
318	Vimco Solar	Jhalnagar, Punjab	Punjab	Raghav	9041414599	"	internationalvimco@gmail.com"	03BCCPV9525N1Z2	Viridis Engineering India Private Ltd , No. 6, GK Sundaram St, KK Pudur,, Saibabacolony, Coimbatore - 641038, Tamil Nadu
319	Viridis Engineering India Private Ltd	Coimbatore, Tamilnadu	Tamil Nadu	Mr. Raveendiran, Nandhini M 	8220162493; 9677632453	raveendiran@viridisenergy.in	33AAECV7528D1ZF	"""Vridhi"" Flat No.D2, New No.45, 1st Main Road, R A Puram , Chennai - 600028"
320	Visalam Technology Services	R A Puram ,  Chennai	Tamil Nadu	Mr.M.Ulagappan	6374712353	ulagappan@visalamtech.com	33AAQFV0949K1ZN	Viva Technologies , No.53, Dr. N.G.P Nagar, Kalapatty (PO), Coimbatore - 641035
321	Viva Technologies	Coimbatore, Tamilnadu	Tamil Nadu	Thangaraj	9364444424	vivatech2006@gmail.com	33ADFPT5964Q1ZO	Mr. Muthukumar , VRM Energy Consultancy Services Pvt Ltd , No.1, Rathinammal Street , Rangarajapuram Main Road , Kodambakkam, Chennai - 600024
322	VRM Energy Consultancy Services Pvt Ltd	Kodambakkam, Chennai - 600024	Tamil Nadu				33AAECV2183N1Z1	Waaree Energy Pvt Ltd (Gujarat), No. A/234 Groumd Floor, Behind Surat, Ahmedabad Transport, Road No. 2.G.I.D.C, Sachin - 394 230, Gujarat
323	Waaree Energy Pvt Ltd (Gujarat)	Tirupati - 517561	Andhra Pradesh	 Mr. Deepak - 	7982046115		24AAACA4043J2Z1	#N/A
324	WAV Energy Solutions	Chennai, Tamil Nadu	Tamil Nadu	Ram Subramaniam - Managing Partner	75400 51510	info@wavenergy.in	33AACFW7524R1ZL	WAV Energy Solutions , 477L, Rajaji Street, Chakra Nagar, Paramathi Velur,, Namakkal - 638182,
325	Winman Software  India LLP	Mangalore, Karnataka	karnataka	Tejas- 6360 323 616		info@winmansoftware.com	29AACFW2560P1ZK	Winman Software India LLP , NH-66, Kottara Chowki, MANGALORE - 575013, KARNATAKA
326	WRS Energy Solutions LLP	Maharashtra	Maharashtra	Mr. Prashant - 82081 66080, 9860600912	 82081 66080, 9860600912	prashant@wersolar.in   ; accounts@wersolar.in	27AACFW6581E1ZY	WRS Energy Solutions LLP, Rathi Chambers, Khadkali Signal, GPO Road, Nashik 422001, Maharastra
327	Zodiac Energy Ltd.	Rajkot, Gujarat	Gujarat	Rameshbhai -  Hemendrabhai - 	6355373141; 9099917915,	purchase@zodiacenergy.com	24AAACZ1284C1ZN	Opp. Vizag Steel Godown, Sarkhej-Dholka Road,, Nr.Bharti Asharam, Fatehwadi, Sarkhej,, Ahmedabad-382210, Gujarat, Anish Shah : 8160052646.
328	Ztric India Pvt Ltd	Mumbai, Maharashtra	Maharashtra	Priyanka - 9011130322	9011130322	accounts@ztric.com, purchase@ztric.com	27AAACZ9226A1ZF	Ztric India Pvt Ltd , 501, Crystal Row House, Sahyadri Farms,Behing Kapil Complex, Baner Road, Pune - 411045
329	Olo Infra	Mumbai, Maharashtra	Maharashtra	Nitin Deshmukh	90828 26775	oloinfra@gmail.com		"Tathastu Renewable Energy Developer & Services , ""Sahajanand Apparment"" B Wing, Ground Floor, Flat No : 2 , Near Kids Zee School ,, Mahalaxami Nagar, Aadgaon – Nashik - 422003"
330	Phoenix Electric Corporation	Aurangabad, Maharashtra	Maharashtra	Sachin Narsikar-Phatak	93252 12237	phoenix.electric.corporation@gmail.com		U-Solar Clean Energy Solutions Pvt. Ltd. , S 208, 2nd Floor, The Excellency, No 8 Papanna Street, St. Mark's Road, Bangalore 560 001, Karnataka
331	Sigma Traders	Ludhiana	Punjab	Kawalraj Singh	78377 60013	sigmatraders0013@gmail.com		Solar Master , 70/E, 1, Poothrikka, Arikaranadu South,, Ernakulam, Kerala, 682308
332	Enrich Energy	Pune, Maharashtra	Maharashtra	Rakesh Herage	9886245838 ; 90229 32247	Rakesh.herage@enrichenergy.com		#N/A
333	Arka Energy	Sangli, Maharashtra	Maharashtra	Rushikesh Todkar	79727 26328			#N/A
334	Solpath Energy	Ahmedabad	Gujarat	Ravi Lakhani	95123 73381	Ravi@solpathenergy.com		#N/A
335	Tathastu Renewable Energy Developer & Services	Nashik, Maharashtra	Maharashtra	Gaurav Chavan	99237 64194	tathastu.energysales@gmail.com /  tathastu.energypurchase@gmail.com		#N/A
336	Goldi Solar Pvt Ltd	Surat	Gujarat	Sandip Vekariya	81413 08677	sandip.v@goldisolar.com		#N/A
337	Swarajya Solar Services	Nandurbar	Maharashtra	Shubham Sonawane	98341 78018	swarajyasolar01@gmail.com		#N/A
338	Meet Energy	Pune (bhosari)	Maharashtra	Chirag Shah	79723 22920	meetenergy.pv@gmail.com		#N/A
339	U-Solar Clean Energy Solutions Pvt. Ltd.	Bengalore, Karnataka	karnataka	Rajeev Choudhary	93121 68406	rajeev.choudhary@usolar.in		#N/A
340	Solar Pulse	New Delhi	New Delhi	Shahid -; Sanjiv Kumar.	9354390079; 9654276311	proc@solarpulseenergy.com		#N/A
